name,vcpu,memory_gb,storage_gb,os,annual_cost_onprem
prod-web-01,4,16,100,Windows Server 2019,5000
prod-web-02,4,16,100,Windows Server 2019,5000
prod-web-03,4,16,100,Windows Server 2019,5000
prod-app-01,4,16,150,Windows Server 2019,5500
prod-app-02,4,16,150,Windows Server 2019,5500
prod-app-03,4,16,150,Windows Server 2019,5500
prod-db-01,8,32,500,Windows Server 2019,12000
prod-db-02,8,32,500,Windows Server 2019,12000
prod-db-backup,4,16,800,Windows Server 2019,8000
prod-cache-01,4,16,200,Windows Server 2019,4500
prod-cache-02,4,16,200,Windows Server 2019,4500
prod-queue-01,2,8,100,Windows Server 2019,2500
prod-queue-02,2,8,100,Windows Server 2019,2500
dev-web-01,2,8,50,Windows Server 2019,2000
dev-web-02,2,8,50,Windows Server 2019,2000
dev-app-01,4,16,150,Windows Server 2019,4500
dev-app-02,4,16,150,Windows Server 2019,4500
dev-db-01,4,16,200,Windows Server 2019,4500
dev-db-02,4,16,200,Windows Server 2019,4500
dev-cache-01,2,8,100,Windows Server 2019,2000
test-web-01,2,8,50,Windows Server 2019,2000
test-web-02,2,8,50,Windows Server 2019,2000
test-app-01,2,8,50,Windows Server 2019,2000
test-app-02,2,8,50,Windows Server 2019,2000
test-db-01,4,16,200,Windows Server 2019,4500
staging-web-01,4,16,100,Windows Server 2019,5000
staging-app-01,4,16,150,Windows Server 2019,5500
staging-db-01,4,16,300,Windows Server 2019,6000
file-server-01,4,16,800,Windows Server 2019,6000
file-server-02,4,16,800,Windows Server 2019,6000
file-server-03,4,16,800,Windows Server 2019,6000
backup-server-01,4,16,1000,Windows Server 2019,7000
backup-server-02,4,16,1000,Windows Server 2019,7000
exchange-01,4,16,300,Windows Server 2019,4500
exchange-02,4,16,300,Windows Server 2019,4500
sharepoint-01,4,16,500,Windows Server 2019,5000
sharepoint-02,4,16,500,Windows Server 2019,5000
sql-cluster-01,8,32,500,Windows Server 2019,12000
sql-cluster-02,8,32,500,Windows Server 2019,12000
dns-01,2,4,50,Windows Server 2019,1500
dns-02,2,4,50,Windows Server 2019,1500
dhcp-01,2,4,50,Windows Server 2019,1500
ad-dc-01,4,8,100,Windows Server 2019,2500
ad-dc-02,4,8,100,Windows Server 2019,2500
ad-dc-03,4,8,100,Windows Server 2019,2500
print-server-01,2,8,100,Windows Server 2019,1500
print-server-02,2,8,100,Windows Server 2019,1500
monitoring-01,4,16,200,Windows Server 2019,4500
monitoring-02,4,16,200,Windows Server 2019,4500
backup-mgmt-01,4,16,300,Windows Server 2019,5000
vpn-01,2,8,50,Windows Server 2019,1500
vpn-02,2,8,50,Windows Server 2019,1500
firewall-mgmt-01,2,4,50,Windows Server 2019,1000
security-01,4,16,200,Windows Server 2019,4500
security-02,4,16,200,Windows Server 2019,4500
virtualization-host-01,16,64,1000,Windows Server 2019,20000
virtualization-host-02,16,64,1000,Windows Server 2019,20000
virtualization-host-03,16,64,1000,Windows Server 2019,20000
api-gateway-01,4,16,100,Windows Server 2019,4500
api-gateway-02,4,16,100,Windows Server 2019,4500
web-service-01,2,8,50,Windows Server 2019,2000
web-service-02,2,8,50,Windows Server 2019,2000
web-service-03,2,8,50,Windows Server 2019,2000
batch-job-01,2,8,100,Windows Server 2019,2500
batch-job-02,2,8,100,Windows Server 2019,2500
reporting-01,4,16,300,Windows Server 2019,5000
reporting-02,4,16,300,Windows Server 2019,5000
etl-01,4,16,200,Windows Server 2019,4500
etl-02,4,16,200,Windows Server 2019,4500
data-warehouse-01,8,32,1000,Windows Server 2019,12000
analytics-01,4,16,500,Windows Server 2019,6000
analytics-02,4,16,500,Windows Server 2019,6000
ml-training-01,8,32,2000,Windows Server 2019,15000
ml-inference-01,4,16,500,Windows Server 2019,6000
ai-service-01,4,16,200,Windows Server 2019,4500
container-01,4,16,100,Windows Server 2019,4500
container-02,4,16,100,Windows Server 2019,4500
container-03,4,16,100,Windows Server 2019,4500
kubernetes-mgmt-01,4,16,100,Windows Server 2019,4500
kubernetes-worker-01,8,32,200,Windows Server 2019,8000
kubernetes-worker-02,8,32,200,Windows Server 2019,8000
kubernetes-worker-03,8,32,200,Windows Server 2019,8000
load-balancer-01,2,8,50,Windows Server 2019,1500
load-balancer-02,2,8,50,Windows Server 2019,1500
cdn-edge-01,2,8,50,Windows Server 2019,1500
cdn-edge-02,2,8,50,Windows Server 2019,1500
storage-01,4,16,5000,Windows Server 2019,25000
storage-02,4,16,5000,Windows Server 2019,25000
disaster-recovery-01,8,32,1000,Windows Server 2019,12000
disaster-recovery-02,8,32,1000,Windows Server 2019,12000
